date,swimming pool,distance,stroke,total time,avgerage time / 100m
2025-10-29,Olympia,200,freestyle,4:23.6,2:11.8
2025-10-29,Olympia,200,freestyle,4:00.9,2:00.4
2025-10-29,Olympia,200,freestyle,3:47.6,1:53.8
2025-10-29,Olympia,200,freestyle,3:41.5,1:50.7
2025-10-29,Olympia,50,butterfly,1:14.0,2:28.1
2025-10-29,Olympia,50,backstroke,0:59.3,1:58.7
2025-10-29,Olympia,50,breaststroke,1:06.8,2:13.7
2025-10-29,Olympia,50,freestyle,0:52.4,1:44.8
2025-10-29,Olympia,100,backstroke,2:12.9,2:12.9
2025-10-29,Olympia,100,backstroke,2:13.9,2:13.9
2025-10-29,Olympia,100,backstroke,1:55.7,1:55.7
2025-10-29,Olympia,200,freestyle,4:12.1,2:06.0
2025-10-29,Olympia,200,freestyle,3:59.9,2:00.0
2025-11-12,Nordbad,300,freestyle,5:40.8,1:53.6
2025-11-12,Nordbad,300,freestyle,5:24.8,1:48.3
2025-11-12,Nordbad,300,freestyle,5:52.6,1:57.5
2025-11-12,Nordbad,50,butterfly,1:11.2,2:22.4
2025-11-12,Nordbad,50,backstroke,1:03.1,2:06.1
2025-11-12,Nordbad,50,breaststroke,1:01.6,2:03.2
2025-11-12,Nordbad,50,freestyle,0:59.4,1:58.8
2025-11-12,Nordbad,100,freestyle,1:25.4,1:25.4
2025-11-12,Nordbad,100,freestyle,1:20.0,1:20.0
2025-11-12,Nordbad,100,freestyle,1:19.9,1:19.9
2025-11-12,Nordbad,100,freestyle,1:26.5,1:26.5
2025-11-12,Nordbad,200,backstroke,4:17.7,2:08.9
2025-11-26,Cosima,400,freestyle,8:14.7,2:03.7
2025-11-26,Cosima,200,freestyle,4:02.4,2:01.2
2025-11-26,Cosima,200,freestyle,4:00.6,2:00.3
2025-11-26,Cosima,200,freestyle,4:09.4,2:04.7
2025-11-26,Cosima,50,butterfly,1:05.8,2:11.7
2025-11-26,Cosima,50,backstroke,1:03.5,2:07.1
2025-11-26,Cosima,50,breaststroke,1:03.3,2:06.7
2025-11-26,Cosima,50,freestyle,0:58.9,1:57.8
2025-11-26,Cosima,100,freestyle,1:33.4,1:33.4
2025-11-26,Cosima,100,freestyle,1:34.9,1:34.9
2025-11-26,Cosima,100,freestyle,1:16.9,1:16.9
2025-11-26,Cosima,100,freestyle,1:28.2,1:28.2
2025-12-10,Dantebad,300,freestyle,5:48.1,1:56.0
2025-12-10,Dantebad,300,freestyle,5:04.3,1:41.4
2025-12-10,Dantebad,50,butterfly,1:09.2,2:18.4
2025-12-10,Dantebad,50,backstroke,1:05.2,2:10.3
2025-12-10,Dantebad,50,breaststroke,1:07.7,2:15.5
2025-12-10,Dantebad,50,freestyle,0:58.0,1:56.0
2025-12-10,Dantebad,100,breaststroke,2:05.6,2:05.6
2025-12-10,Dantebad,100,breaststroke,2:01.2,2:01.2
2025-12-10,Dantebad,100,breaststroke,2:06.7,2:06.7
2025-12-10,Dantebad,100,breaststroke,2:00.4,2:00.4
2025-12-10,Dantebad,200,freestyle,3:19.5,1:39.7
2025-12-10,Dantebad,200,freestyle,3:27.2,1:43.6
2025-12-24,Olympia,200,freestyle,4:02.8,2:01.4
2025-12-24,Olympia,200,freestyle,4:03.6,2:01.8
2025-12-24,Olympia,200,freestyle,3:28.2,1:44.1
2025-12-24,Olympia,200,freestyle,4:24.6,2:12.3
2025-12-24,Olympia,50,butterfly,1:13.2,2:26.3
2025-12-24,Olympia,50,backstroke,1:11.0,2:22.0
2025-12-24,Olympia,50,breaststroke,1:07.7,2:15.3
2025-12-24,Olympia,50,freestyle,0:56.4,1:52.8
2025-12-24,Olympia,100,freestyle,1:29.4,1:29.4
2025-12-24,Olympia,100,freestyle,1:28.6,1:28.6
2025-12-24,Olympia,100,freestyle,1:33.8,1:33.8
2025-12-24,Olympia,100,freestyle,1:25.1,1:25.1
2025-12-24,Olympia,300,freestyle,6:00.6,2:00.2
2026-01-07,Nordbad,400,freestyle,7:37.4,1:54.3
2026-01-07,Nordbad,200,freestyle,4:00.9,2:00.4
2026-01-07,Nordbad,200,freestyle,3:53.8,1:56.9
2026-01-07,Nordbad,200,freestyle,3:53.6,1:56.8
2026-01-07,Nordbad,50,butterfly,1:00.3,2:00.6
2026-01-07,Nordbad,50,backstroke,1:00.4,2:00.9
2026-01-07,Nordbad,50,breaststroke,1:01.4,2:02.8
2026-01-07,Nordbad,50,freestyle,0:58.2,1:56.4
2026-01-07,Nordbad,100,backstroke,2:03.0,2:03.0
2026-01-07,Nordbad,100,backstroke,2:05.0,2:05.0
2026-01-07,Nordbad,100,backstroke,2:05.1,2:05.1
2026-01-07,Nordbad,100,backstroke,2:07.2,2:07.2
2026-01-07,Nordbad,200,freestyle,3:52.9,1:56.5
2026-01-21,Cosima,300,freestyle,5:02.4,1:40.8
2026-01-21,Cosima,300,freestyle,6:04.0,2:01.3
2026-01-21,Cosima,300,freestyle,4:50.5,1:36.8
2026-01-21,Cosima,50,butterfly,1:02.3,2:04.6
2026-01-21,Cosima,50,backstroke,0:55.9,1:51.7
2026-01-21,Cosima,50,breaststroke,1:05.3,2:10.6
2026-01-21,Cosima,50,freestyle,0:57.3,1:54.7
2026-01-21,Cosima,100,freestyle,1:23.0,1:23.0
2026-01-21,Cosima,100,freestyle,1:21.5,1:21.5
2026-01-21,Cosima,100,freestyle,1:20.5,1:20.5
2026-01-21,Cosima,100,breaststroke,1:53.0,1:53.0
2026-01-21,Cosima,100,breaststroke,2:18.1,2:18.1
2026-01-21,Cosima,100,breaststroke,1:57.4,1:57.4
2026-01-21,Cosima,100,breaststroke,2:07.3,2:07.3
2026-02-04,Dantebad,400,freestyle,6:25.8,1:36.4
2026-02-04,Dantebad,400,freestyle,8:06.4,2:01.6
2026-02-04,Dantebad,50,butterfly,1:09.8,2:19.5
2026-02-04,Dantebad,50,backstroke,1:02.1,2:04.2
2026-02-04,Dantebad,50,breaststroke,1:09.2,2:18.5
2026-02-04,Dantebad,50,freestyle,0:57.5,1:54.9
2026-02-04,Dantebad,100,freestyle,1:24.8,1:24.8
2026-02-04,Dantebad,100,freestyle,1:24.2,1:24.2
2026-02-04,Dantebad,100,freestyle,1:24.2,1:24.2
2026-02-04,Dantebad,100,freestyle,1:28.9,1:28.9
2026-02-04,Dantebad,200,freestyle,3:50.8,1:55.4
2026-02-18,Olympia,300,freestyle,5:40.5,1:53.5
2026-02-18,Olympia,300,freestyle,4:56.6,1:38.9
2026-02-18,Olympia,300,freestyle,5:12.6,1:44.2
2026-02-18,Olympia,50,butterfly,1:05.7,2:11.4
2026-02-18,Olympia,50,backstroke,0:55.3,1:50.7
2026-02-18,Olympia,50,breaststroke,1:03.9,2:07.8
2026-02-18,Olympia,50,freestyle,1:00.5,2:01.0
2026-02-18,Olympia,50,butterfly,1:00.1,2:00.2
2026-02-18,Olympia,50,butterfly,1:10.6,2:21.2
2026-02-18,Olympia,50,butterfly,1:10.2,2:20.4
2026-02-18,Olympia,50,butterfly,1:12.5,2:25.1
2026-02-18,Olympia,200,freestyle,4:11.3,2:05.7
2026-02-18,Olympia,200,freestyle,4:07.3,2:03.6
2026-03-04,Nordbad,400,freestyle,7:01.0,1:45.3
2026-03-04,Nordbad,200,freestyle,3:27.2,1:43.6
2026-03-04,Nordbad,200,freestyle,3:36.1,1:48.0
2026-03-04,Nordbad,200,freestyle,3:35.4,1:47.7
2026-03-04,Nordbad,50,butterfly,0:58.9,1:57.8
2026-03-04,Nordbad,50,backstroke,1:02.7,2:05.4
2026-03-04,Nordbad,50,breaststroke,1:11.3,2:22.5
2026-03-04,Nordbad,50,freestyle,0:55.9,1:51.8
2026-03-04,Nordbad,100,backstroke,1:55.4,1:55.4
2026-03-04,Nordbad,100,backstroke,2:11.2,2:11.2
2026-03-04,Nordbad,100,backstroke,2:09.8,2:09.8
2026-03-04,Nordbad,100,backstroke,1:58.7,1:58.7
2026-03-04,Nordbad,200,freestyle,3:45.7,1:52.8
2026-03-18,Cosima,200,freestyle,4:21.3,2:10.7
2026-03-18,Cosima,200,freestyle,3:57.6,1:58.8
2026-03-18,Cosima,200,freestyle,3:30.8,1:45.4
2026-03-18,Cosima,200,freestyle,3:18.2,1:39.1
2026-03-18,Cosima,50,butterfly,1:06.3,2:12.6
2026-03-18,Cosima,50,backstroke,1:02.6,2:05.2
2026-03-18,Cosima,50,breaststroke,1:05.3,2:10.5
2026-03-18,Cosima,50,freestyle,0:52.2,1:44.4
2026-03-18,Cosima,100,freestyle,1:20.1,1:20.1
2026-03-18,Cosima,100,freestyle,1:14.0,1:14.0
2026-03-18,Cosima,100,freestyle,1:25.9,1:25.9
2026-03-18,Cosima,200,freestyle,3:58.4,1:59.2
2026-03-18,Cosima,200,freestyle,3:53.6,1:56.8
2026-04-01,Dantebad,300,freestyle,6:27.4,2:09.1
2026-04-01,Dantebad,300,freestyle,6:03.6,2:01.2
2026-04-01,Dantebad,300,freestyle,6:28.3,2:09.4
2026-04-01,Dantebad,50,butterfly,1:10.0,2:20.1
2026-04-01,Dantebad,50,backstroke,1:04.4,2:08.8
2026-04-01,Dantebad,50,breaststroke,1:03.0,2:05.9
2026-04-01,Dantebad,50,freestyle,1:01.5,2:03.1
2026-04-01,Dantebad,100,breaststroke,2:01.0,2:01.0
2026-04-01,Dantebad,100,breaststroke,2:06.7,2:06.7
2026-04-01,Dantebad,100,breaststroke,2:00.2,2:00.2
2026-04-01,Dantebad,100,breaststroke,2:09.5,2:09.5
2026-04-01,Dantebad,200,freestyle,3:47.5,1:53.8
2026-04-15,Olympia,400,freestyle,7:00.4,1:45.1
2026-04-15,Olympia,400,freestyle,6:53.4,1:43.3
2026-04-15,Olympia,50,butterfly,1:06.5,2:13.1
2026-04-15,Olympia,50,backstroke,1:06.3,2:12.7
2026-04-15,Olympia,50,breaststroke,1:02.1,2:04.2
2026-04-15,Olympia,50,freestyle,0:53.3,1:46.7
2026-04-15,Olympia,100,freestyle,1:27.2,1:27.2
2026-04-15,Olympia,100,freestyle,1:18.5,1:18.5
2026-04-15,Olympia,100,freestyle,1:36.4,1:36.4
2026-04-15,Olympia,100,freestyle,1:18.6,1:18.6
2026-04-15,Olympia,200,freestyle,3:23.6,1:41.8
2026-04-29,Nordbad,200,freestyle,3:42.0,1:51.0
2026-04-29,Nordbad,200,freestyle,3:36.9,1:48.4
2026-04-29,Nordbad,200,freestyle,4:28.6,2:14.3
2026-04-29,Nordbad,200,freestyle,3:55.9,1:58.0
2026-04-29,Nordbad,50,butterfly,1:09.2,2:18.5
2026-04-29,Nordbad,50,backstroke,1:04.9,2:09.8
2026-04-29,Nordbad,50,breaststroke,1:07.1,2:14.2
2026-04-29,Nordbad,50,freestyle,0:51.1,1:42.3
2026-04-29,Nordbad,100,backstroke,2:18.3,2:18.3
2026-04-29,Nordbad,100,backstroke,2:16.2,2:16.2
2026-04-29,Nordbad,100,backstroke,1:56.4,1:56.4
2026-04-29,Nordbad,100,backstroke,1:48.0,1:48.0
2026-04-29,Nordbad,200,freestyle,3:55.3,1:57.7
2026-05-13,Cosima,300,freestyle,5:54.0,1:58.0
2026-05-13,Cosima,300,freestyle,5:44.6,1:54.9
2026-05-13,Cosima,300,freestyle,5:38.1,1:52.7
2026-05-13,Cosima,50,butterfly,1:11.5,2:22.9
2026-05-13,Cosima,50,backstroke,0:57.0,1:54.0
2026-05-13,Cosima,50,breaststroke,1:09.4,2:18.7
2026-05-13,Cosima,50,freestyle,0:55.2,1:50.4
2026-05-13,Cosima,100,freestyle,1:32.0,1:32.0
2026-05-13,Cosima,100,freestyle,1:36.0,1:36.0
2026-05-13,Cosima,100,freestyle,1:27.5,1:27.5
2026-05-13,Cosima,100,freestyle,1:23.6,1:23.6
2026-05-13,Cosima,200,breaststroke,4:10.5,2:05.3
2026-05-22,Dantebad,400,freestyle,8:03.2,2:00.8
2026-05-22,Dantebad,200,freestyle,4:21.6,2:10.8
2026-05-22,Dantebad,200,freestyle,3:58.3,1:59.1
2026-05-22,Dantebad,200,freestyle,3:39.4,1:49.7
2026-05-22,Dantebad,50,butterfly,1:08.3,2:16.7
2026-05-22,Dantebad,50,backstroke,0:59.1,1:58.3
2026-05-22,Dantebad,50,breaststroke,1:00.2,2:00.3
2026-05-22,Dantebad,50,freestyle,0:55.9,1:51.8
2026-05-22,Dantebad,100,freestyle,1:19.8,1:19.8
2026-05-22,Dantebad,100,freestyle,1:23.0,1:23.0
2026-05-22,Dantebad,100,freestyle,1:17.5,1:17.5
2026-05-22,Dantebad,100,freestyle,1:14.5,1:14.5
2026-05-22,Dantebad,200,freestyle,3:40.7,1:50.4
